SK_ID_CURR,PAYMENT_RATE,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,DAYS_LAST_PHONE_CHANGE,DAYS_EMPLOYED_PERC,AMT_ANNUITY,ANNUITY_INCOME_PERC,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,INCOME_CREDIT_PERC,AMT_CREDIT,OWN_CAR_AGE,INCOME_PER_PERSON,POS_MONTHS_BALANCE_MEAN,AMT_REQ_CREDIT_BUREAU_YEAR,HOUR_APPR_PROCESS_START,AMT_INCOME_TOTAL,POS_MONTHS_BALANCE_MAX,TOTALAREA_MODE,PREV_DAYS_DECISION_MAX,CODE_GENDER,PREV_APP_CREDIT_PERC_MIN,PREV_DAYS_DECISION_MEAN,YEARS_BEGINEXPLUATATION_MODE,LIVINGAREA_MODE,PREV_AMT_ANNUITY_MEAN,PREV_APP_CREDIT_PERC_MEAN,AMT_REQ_CREDIT_BUREAU_QRT,PREV_CNT_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_AMT_ANNUITY_MIN,NAME_FAMILY_STATUS_Married,NAME_EDUCATION_TYPE_Highereducation,NAME_CONTRACT_TYPE_Cashloans,FLAG_DOCUMENT_3,Predicted
100001,0.03614715189873418,0.1595195404777181,0.7896543511176771,0.7526144906031748,-19241,-2329.0,-5170.0,-812,-1740.0,0.1210436048022452,20560.5,0.1523,450000.0,0.01885,0.23734177215189872,568800.0,0.0,67500.0,0.0,0.0,18,135000.0,0.0,0.0392,-1740.0,1,1.0440786984487325,-1740.0,0.9732,0.0526,3951.0,1.0440786984487325,0.0,8.0,-1740.0,3951.0,1,1,1,1,1.0
100002,0.06074926678103038,0.1393757800997895,0.2629485927471776,0.0830369673913225,-9461,-637.0,-3648.0,-2120,-1134.0,0.0673290349857309,24700.5,0.12197777777777778,351000.0,0.018801,0.4980355265342261,406597.5,0.0,202500.0,0.0,1.0,10,202500.0,0.0,0.0149,0.0,0,0.0,0.0,0.9722,0.0198,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1.0
100003,0.027598323157473605,0.0,0.6222457752555098,0.3112673113812225,-16765,-1188.0,-1186.0,-291,-828.0,0.07086191470325082,35698.5,0.13221666666666668,1129500.0,0.0035409999999999,0.20873558419871627,1293502.5,0.0,135000.0,-66.0,0.0,11,270000.0,-66.0,0.0714,0.0,1,0.0,0.0,0.9851,0.0554,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0
100004,0.05,0.7295666907060153,0.5559120833904428,0.0,-19046,-225.0,-4260.0,-2531,-815.0,0.011813504147852568,6750.0,0.1,135000.0,0.010032,0.5,135000.0,26.0,67500.0,0.0,0.0,9,67500.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0
100005,0.07797349709114415,0.4329616670974407,0.2916555320093651,0.5649902017969249,-18064,-4469.0,-9118.0,-1623,0.0,0.2473981399468556,17370.0,0.17545454545454545,180000.0,0.035792,0.44440853264382674,222768.0,0.0,49500.0,-21.0,3.0,9,99000.0,-21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1.0
100006,0.09494135424911851,0.0,0.6504416904014653,0.0,-19005,-3039.0,-9833.0,-2437,-617.0,0.15990528808208365,29686.5,0.2199,297000.0,0.008019,0.4317478592501979,312682.5,0.0,67500.0,0.0,0.0,17,135000.0,0.0,0.0,-181.0,1,1.0,-181.0,0.0,0.0,24246.0,1.0,0.0,48.0,-181.0,24246.0,0,0,1,1,0.0
100007,0.04262280701754386,0.0,0.3227382869704046,0.0,-19932,-3038.0,-4311.0,-3458,-1106.0,0.1524182219546458,21865.5,0.17996296296296296,513000.0,0.028663,0.23684210526315788,513000.0,0.0,121500.0,-35.5,0.0,11,121500.0,-3.0,0.0,-865.0,0,0.7911392405063291,-866.0,0.0,0.0,14760.2925,0.8955696202531646,0.0,33.0,-867.0,13010.985,0,0,1,0,1.0
100008,0.05610143212323049,0.6212263380626669,0.3542247319929012,0.0,-16941,-1588.0,-4970.0,-477,-2536.0,0.09373708753910631,27517.5,0.27795454545454545,454500.0,0.035792,0.20183671409829448,490495.5,0.0,49500.0,-19.0,1.0,16,99000.0,-19.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1.0
100009,0.0264626846736711,0.4920600938649263,0.7239998516953141,0.7747614130547695,-13778,-3130.0,-1213.0,-619,-1562.0,0.2271737552620119,41301.0,0.24152631578947367,1395000.0,0.035792,0.10956439503154301,1560726.0,17.0,57000.0,-31.0,2.0,16,171000.0,-10.0,0.0,-449.0,1,1.0,-449.0,0.0,0.0,8996.76,1.0,1.0,12.0,-449.0,8996.76,1,1,1,0,1.0
100010,0.0275,0.5406544504453575,0.7142792864482229,0.0,-18850,-449.0,-4597.0,-2379,-1070.0,0.023819628647214854,42075.0,0.116875,1530000.0,0.0031219999999999,0.23529411764705882,1530000.0,8.0,180000.0,-35.0,0.0,16,360000.0,-35.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0
